Step,Time (s),C8H20O4SI (mol/cm3),Err,C6H16O4SI (mol/cm3),Err,C4H12O4SI (mol/cm3),Err,C2H8O4SI (mol/cm3),Err,H4O4SI (mol/cm3),Err,C6H16O4SI2 (mol/cm3),Err,C4H12O4SI2 (mol/cm3),Err,C2H8O4SI2 (mol/cm3),Err,H2 (mol/cm3),Err,H2O (mol/cm3),Err,H (mol/cm3),Err,CH4 (mol/cm3),Err,CH3 (mol/cm3),Err,CH2 (mol/cm3),Err,CH (mol/cm3),Err,CO (mol/cm3),Err,C2H (mol/cm3),Err,C2H2 (mol/cm3),Err,C2H3 (mol/cm3),Err,C2H4 (mol/cm3),Err,C2H5OH (mol/cm3),Err,C2H5 (mol/cm3),Err,H2CCCH (mol/cm3),Err,C3H2 (mol/cm3),Err,CH2(S) (mol/cm3),Err,C3H6 (mol/cm3),Err,AC3H5 (mol/cm3),Err,PC3H5 (mol/cm3),Err,N2 (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83916e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
38,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88413e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
39,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93016e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97718e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
41,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02145e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
42,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06209e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
43,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09912e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
44,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13817e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
45,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17712e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
46,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21323e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
