Weight,Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (cm-3),Num coags,silica,Number of Si atoms,Number of O atoms,Number of OH atoms,Number of primaries,Avg. primary diameter,Avg. Sintering Level
10434.4,42.9478,97.9671,97.9671,1.99637e-10,4.14783e-17,9.12523e-17,0.727332,3.15556e-06,1534,839662,11138.9,21589.8,1195.02,81,9.01602,0.076919
18476,35.8546,81.0928,81.0928,1.37371e-10,2.41343e-17,5.30955e-17,0.727332,5.5875e-06,1487,482751,10834.6,20709.3,1803.1,48,9.08673,0.0259881
10883.8,42.6727,99.0993,99.0993,2.02456e-10,4.06864e-17,8.95101e-17,0.727332,3.29148e-06,1980,809369,10382.2,20229.7,1564.71,84,8.92768,0.0702762
6818.6,49.7329,141.397,141.397,3.72503e-10,6.44064e-17,1.41694e-16,0.727332,2.06208e-06,99,1.28967e+06,6702.38,13001.2,944.681,207,5.97464,0.0475935
8337.87,46.6769,121.104,121.104,2.86049e-10,5.32481e-17,1.17146e-16,0.728232,2.52153e-06,446,1.06637e+06,9049.14,17048.4,1687.73,127,7.69481,0.0503574
5544.92,53.3156,145.944,145.944,4.04444e-10,7.93529e-17,1.74576e-16,0.727332,1.67689e-06,374,1.59385e+06,10338.8,19958.5,1398.16,166,8.48852,0.0474857
7491.08,48.6221,128.191,128.191,3.17948e-10,6.01866e-17,1.32411e-16,0.727332,2.26545e-06,188,1.19019e+06,11028.2,21062.6,2056.46,117,9.08653,0.0366234
5935.75,52.111,140.797,140.797,3.78882e-10,7.40947e-17,1.63008e-16,0.727332,1.79509e-06,2031,1.47675e+06,10268.9,20006.1,1468.88,155,8.61087,0.0479276
6143.54,51.383,126.758,126.758,3.21382e-10,7.10324e-17,1.56271e-16,0.727332,1.85792e-06,1140,1.42144e+06,7485.62,14502.9,993.512,205,6.32238,0.106564
3398.36,62.8169,190.748,190.748,6.55963e-10,1.29787e-16,2.8553e-16,0.727332,1.02773e-06,522,2.59977e+06,10232.6,19619.4,1553.19,274,8.36769,0.0413933
9394.85,44.5317,115.929,115.929,2.6168e-10,4.62389e-17,1.01726e-16,0.727332,2.84118e-06,1317,938036,8846.74,16760.4,1227.46,114,7.43834,0.040114
7828.78,47.709,119.398,119.398,2.83103e-10,5.68592e-17,1.2509e-16,0.727332,2.36758e-06,695,1.124e+06,9763.75,19380.8,1372.73,124,8.10624,0.0651033
12828.7,40.4015,96.3723,96.3723,1.8892e-10,3.45296e-17,7.59651e-17,0.728232,3.87965e-06,885,690057,11110.8,21445.8,1633.39,67,9.19366,0.0334635
21098,34.0809,72.5808,72.5808,1.13406e-10,2.07268e-17,4.5599e-17,0.727332,6.38044e-06,317,419360,11829.5,22397.9,1894.5,38,9.70161,0.0346128
