Step,Time (s),Particle Count,Err,M0 (m-3),Err,Equiv. Sphere Diameter (m),Err,Collision Diameter (m),Err,Mobility Diameter (m),Err,Surface Area (m2/m3),Err,Avg. Surface Area (m2),Err,Fv (-),Err,Avg. Volume (m3),Err,Mass (kg/m3),Err,Avg. Mass (kg),Err,Mass2 (kg2/m6),Err,Mass3 (kg3/m9),Err,Avg num coags (-),Err,Max num coags (-),Err,silica,Err,Avg. silica,Err,Number of Si atoms (cm-3),Err,Number of O atoms (cm-3),Err,Number of OH atoms (cm-3),Err,Avg. Number of Primaries per Particle (-),Err,Avg. Primary Diameter (nm),Err,Avg. Sintering Level (-),Err,Avg. Particle Mass (kg),Err,Avg. Sintering Rate (m2/s),Err,Avg. Sintering Time (s),Err,Avg. Create Time (s),Err,Avg. Si:O ratio (-),Err
33,0.33,4096,0,8.62271e+14,0,8.0175e-09,0,8.30018e-09,0,8.30018e-09,0,0.202746,0,2.3513e-16,0,2.89893e-10,0,3.36197e-25,0,6.37765e-07,0,7.39634e-22,0,8.81313e-28,0,1.96855e-48,0,1.47659,0,13,0,6.321e+12,0,7330.65,0,6.321e+12,0,1.20843e+13,0,7.81331e+11,0,1.20996,0,7.52657,0,0.0384059,0,7.39634e-22,0,1.02156e-16,0,0.33,0,0,0,0.488575,0
34,0.34,4096,0,8.44291e+14,0,8.06734e-09,0,8.36358e-09,0,8.36358e-09,0,0.201764,0,2.38974e-16,0,2.89865e-10,0,3.43323e-25,0,6.37703e-07,0,7.55311e-22,0,9.03421e-28,0,2.07333e-48,0,1.50894,0,13,0,6.321e+12,0,7486.75,0,6.321e+12,0,1.20862e+13,0,7.77361e+11,0,1.22191,0,7.55033,0,0.0412487,0,7.55311e-22,0,9.86498e-17,0,0.34,0,0,0,0.488653,0
35,0.35,4096,0,8.20121e+14,0,8.13616e-09,0,8.45482e-09,0,8.45482e-09,0,0.200571,0,2.44562e-16,0,2.8983e-10,0,3.53399e-25,0,6.37626e-07,0,7.77478e-22,0,9.35155e-28,0,2.22123e-48,0,1.54918,0,13,0,6.321e+12,0,7707.4,0,6.321e+12,0,1.20886e+13,0,7.72414e+11,0,1.23836,0,7.58376,0,0.0433802,0,7.77478e-22,0,1.55498e-14,0,0.35,0,0,0,0.488754,0
36,0.36,4096,0,8.01139e+14,0,8.19043e-09,0,8.5263e-09,0,8.5263e-09,0,0.199581,0,2.49122e-16,0,2.89801e-10,0,3.61737e-25,0,6.37563e-07,0,7.95821e-22,0,9.66716e-28,0,2.39373e-48,0,1.58282,0,13,0,6.321e+12,0,7890.02,0,6.321e+12,0,1.20905e+13,0,7.6834e+11,0,1.25033,0,7.61317,0,0.0443634,0,7.95821e-22,0,1.77959e-16,0,0.36,0,0,0,0.488835,0
37,0.37,4096,0,7.83166e+14,0,8.24371e-09,0,8.59873e-09,0,8.59873e-09,0,0.198696,0,2.53709e-16,0,2.89773e-10,0,3.70003e-25,0,6.37501e-07,0,8.14006e-22,0,9.94171e-28,0,2.52976e-48,0,1.61459,0,14,0,6.321e+12,0,8071.09,0,6.321e+12,0,1.20924e+13,0,7.64425e+11,0,1.26273,0,7.63863,0,0.0456062,0,8.14006e-22,0,8.31748e-17,0,0.37,0,0,0,0.48891,0
38,0.38,4096,0,7.63957e+14,0,8.30103e-09,0,8.67796e-09,0,8.67796e-09,0,0.197725,0,2.58817e-16,0,2.89745e-10,0,3.79269e-25,0,6.37439e-07,0,8.34391e-22,0,1.02748e-27,0,2.72041e-48,0,1.64838,0,14,0,6.321e+12,0,8274.03,0,6.321e+12,0,1.20943e+13,0,7.60425e+11,0,1.27889,0,7.66331,0,0.0467855,0,8.34391e-22,0,9.76864e-17,0,0.38,0,0,0,0.488983,0
39,0.39,4096,0,7.45288e+14,0,8.36112e-09,0,8.75915e-09,0,8.75915e-09,0,0.19679,0,2.64045e-16,0,2.89716e-10,0,3.8873e-25,0,6.37375e-07,0,8.55206e-22,0,1.06146e-27,0,2.9124e-48,0,1.68283,0,14,0,6.321e+12,0,8481.28,0,6.321e+12,0,1.20962e+13,0,7.56359e+11,0,1.29434,0,7.69184,0,0.048666,0,8.55206e-22,0,1.07085e-16,0,0.39,0,0,0,0.489073,0
40,0.4,4096,0,7.26795e+14,0,8.42157e-09,0,8.84336e-09,0,8.84336e-09,0,0.195886,0,2.6952e-16,0,2.89688e-10,0,3.98583e-25,0,6.37313e-07,0,8.76882e-22,0,1.09494e-27,0,3.10596e-48,0,1.71874,0,14,0,6.321e+12,0,8697.09,0,6.321e+12,0,1.20981e+13,0,7.52407e+11,0,1.31047,0,7.71769,0,0.0502804,0,8.76882e-22,0,1.17561e-16,0,0.4,0,0,0,0.489153,0
41,0.41,4096,0,7.10797e+14,0,8.47896e-09,0,8.91907e-09,0,8.91907e-09,0,0.195027,0,2.74378e-16,0,2.89662e-10,0,4.07518e-25,0,6.37257e-07,0,8.96539e-22,0,1.12478e-27,0,3.29786e-48,0,1.75249,0,14,0,6.321e+12,0,8892.84,0,6.321e+12,0,1.20998e+13,0,7.48796e+11,0,1.32394,0,7.74727,0,0.0519732,0,8.96539e-22,0,1.27534e-16,0,0.41,0,0,0,0.489239,0
42,0.42,4096,0,6.94216e+14,0,8.54067e-09,0,9.00175e-09,0,9.00175e-09,0,0.194156,0,2.79677e-16,0,2.89638e-10,0,4.17216e-25,0,6.37204e-07,0,9.17876e-22,0,1.15664e-27,0,3.50836e-48,0,1.78854,0,14,0,6.321e+12,0,9105.23,0,6.321e+12,0,1.21014e+13,0,7.45456e+11,0,1.33964,0,7.77648,0,0.0540115,0,9.17876e-22,0,1.24528e-16,0,0.42,0,0,0,0.489327,0
43,0.43,4096,0,6.80897e+14,0,8.5866e-09,0,9.06744e-09,0,9.06744e-09,0,0.193454,0,2.84116e-16,0,2.89618e-10,0,4.25347e-25,0,6.37159e-07,0,9.35763e-22,0,1.18568e-27,0,3.68988e-48,0,1.81632,0,14,0,6.321e+12,0,9283.34,0,6.321e+12,0,1.21027e+13,0,7.42596e+11,0,1.35362,0,7.79312,0,0.0553844,0,9.35763e-22,0,8.9752e-17,0,0.43,0,0,0,0.48938,0
44,0.44,4096,0,6.69095e+14,0,8.62634e-09,0,9.1257e-09,0,9.1257e-09,0,0.192834,0,2.88202e-16,0,2.89598e-10,0,4.3282e-25,0,6.37115e-07,0,9.52203e-22,0,1.21591e-27,0,3.8878e-48,0,1.84157,0,14,0,6.321e+12,0,9447.09,0,6.321e+12,0,1.2104e+13,0,7.39834e+11,0,1.36516,0,7.80906,0,0.055854,0,9.52203e-22,0,9.75992e-17,0,0.44,0,0,0,0.489423,0
45,0.45,4096,0,6.55747e+14,0,8.67718e-09,0,9.19758e-09,0,9.19758e-09,0,0.192154,0,2.93031e-16,0,2.89578e-10,0,4.416e-25,0,6.37071e-07,0,9.71519e-22,0,1.24479e-27,0,4.07845e-48,0,1.87273,0,15,0,6.321e+12,0,9639.38,0,6.321e+12,0,1.21052e+13,0,7.37123e+11,0,1.38113,0,7.8286,0,0.0572783,0,9.71519e-22,0,1.42425e-16,0,0.45,0,0,0,0.489484,0
